fname,emotion,intensivity,statement,repetition,actor,sex
03-01-01-01-01-01-01,neutral,normal,kids,1,1,male
03-01-01-01-01-01-02,neutral,normal,kids,1,2,female
03-01-01-01-01-01-03,neutral,normal,kids,1,3,male
03-01-01-01-01-01-06,neutral,normal,kids,1,6,female
03-01-01-01-01-01-07,neutral,normal,kids,1,7,male
03-01-01-01-01-01-08,neutral,normal,kids,1,8,female
03-01-01-01-01-01-09,neutral,normal,kids,1,9,male
03-01-01-01-01-01-10,neutral,normal,kids,1,10,female
03-01-01-01-01-01-11,neutral,normal,kids,1,11,male
03-01-01-01-01-01-12,neutral,normal,kids,1,12,female
03-01-01-01-01-01-13,neutral,normal,kids,1,13,male
03-01-01-01-01-01-14,neutral,normal,kids,1,14,female
03-01-01-01-01-01-17,neutral,normal,kids,1,17,male
03-01-01-01-01-01-18,neutral,normal,kids,1,18,female
03-01-01-01-01-01-19,neutral,normal,kids,1,19,male
03-01-01-01-01-01-20,neutral,normal,kids,1,20,female
03-01-01-01-01-01-21,neutral,normal,kids,1,21,male
03-01-01-01-01-01-22,neutral,normal,kids,1,22,female
03-01-01-01-01-01-23,neutral,normal,kids,1,23,male
03-01-01-01-01-01-24,neutral,normal,kids,1,24,female
03-01-01-01-01-02-01,neutral,normal,kids,2,1,male
03-01-01-01-01-02-02,neutral,normal,kids,2,2,female
03-01-01-01-01-02-03,neutral,normal,kids,2,3,male
03-01-01-01-01-02-06,neutral,normal,kids,2,6,female
03-01-01-01-01-02-07,neutral,normal,kids,2,7,male
03-01-01-01-01-02-08,neutral,normal,kids,2,8,female
03-01-01-01-01-02-09,neutral,normal,kids,2,9,male
03-01-01-01-01-02-10,neutral,normal,kids,2,10,female
03-01-01-01-01-02-11,neutral,normal,kids,2,11,male
03-01-01-01-01-02-12,neutral,normal,kids,2,12,female
03-01-01-01-01-02-13,neutral,normal,kids,2,13,male
03-01-01-01-01-02-14,neutral,normal,kids,2,14,female
03-01-01-01-01-02-17,neutral,normal,kids,2,17,male
03-01-01-01-01-02-18,neutral,normal,kids,2,18,female
03-01-01-01-01-02-19,neutral,normal,kids,2,19,male
03-01-01-01-01-02-20,neutral,normal,kids,2,20,female
03-01-01-01-01-02-21,neutral,normal,kids,2,21,male
03-01-01-01-01-02-22,neutral,normal,kids,2,22,female
03-01-01-01-01-02-23,neutral,normal,kids,2,23,male
03-01-01-01-01-02-24,neutral,normal,kids,2,24,female
03-01-01-01-02-01-01,neutral,normal,dogs,1,1,male
03-01-01-01-02-01-02,neutral,normal,dogs,1,2,female
03-01-01-01-02-01-03,neutral,normal,dogs,1,3,male
03-01-01-01-02-01-06,neutral,normal,dogs,1,6,female
03-01-01-01-02-01-07,neutral,normal,dogs,1,7,male
03-01-01-01-02-01-08,neutral,normal,dogs,1,8,female
03-01-01-01-02-01-09,neutral,normal,dogs,1,9,male
03-01-01-01-02-01-10,neutral,normal,dogs,1,10,female
03-01-01-01-02-01-11,neutral,normal,dogs,1,11,male
03-01-01-01-02-01-12,neutral,normal,dogs,1,12,female
03-01-01-01-02-01-13,neutral,normal,dogs,1,13,male
03-01-01-01-02-01-14,neutral,normal,dogs,1,14,female
03-01-01-01-02-01-17,neutral,normal,dogs,1,17,male
03-01-01-01-02-01-18,neutral,normal,dogs,1,18,female
03-01-01-01-02-01-19,neutral,normal,dogs,1,19,male
03-01-01-01-02-01-20,neutral,normal,dogs,1,20,female
03-01-01-01-02-01-21,neutral,normal,dogs,1,21,male
03-01-01-01-02-01-22,neutral,normal,dogs,1,22,female
03-01-01-01-02-01-23,neutral,normal,dogs,1,23,male
03-01-01-01-02-01-24,neutral,normal,dogs,1,24,female
03-01-01-01-02-02-01,neutral,normal,dogs,2,1,male
03-01-01-01-02-02-02,neutral,normal,dogs,2,2,female
03-01-01-01-02-02-03,neutral,normal,dogs,2,3,male
03-01-01-01-02-02-06,neutral,normal,dogs,2,6,female
03-01-01-01-02-02-07,neutral,normal,dogs,2,7,male
03-01-01-01-02-02-08,neutral,normal,dogs,2,8,female
03-01-01-01-02-02-09,neutral,normal,dogs,2,9,male
03-01-01-01-02-02-10,neutral,normal,dogs,2,10,female
03-01-01-01-02-02-11,neutral,normal,dogs,2,11,male
03-01-01-01-02-02-12,neutral,normal,dogs,2,12,female
03-01-01-01-02-02-13,neutral,normal,dogs,2,13,male
03-01-01-01-02-02-14,neutral,normal,dogs,2,14,female
03-01-01-01-02-02-17,neutral,normal,dogs,2,17,male
03-01-01-01-02-02-18,neutral,normal,dogs,2,18,female
03-01-01-01-02-02-19,neutral,normal,dogs,2,19,male
03-01-01-01-02-02-20,neutral,normal,dogs,2,20,female
03-01-01-01-02-02-21,neutral,normal,dogs,2,21,male
03-01-01-01-02-02-22,neutral,normal,dogs,2,22,female
03-01-01-01-02-02-23,neutral,normal,dogs,2,23,male
03-01-01-01-02-02-24,neutral,normal,dogs,2,24,female
03-01-02-01-01-01-01,calm,normal,kids,1,1,male
03-01-02-01-01-01-02,calm,normal,kids,1,2,female
03-01-02-01-01-01-03,calm,normal,kids,1,3,male
03-01-02-01-01-01-06,calm,normal,kids,1,6,female
03-01-02-01-01-01-07,calm,normal,kids,1,7,male
03-01-02-01-01-01-08,calm,normal,kids,1,8,female
03-01-02-01-01-01-09,calm,normal,kids,1,9,male
03-01-02-01-01-01-10,calm,normal,kids,1,10,female
03-01-02-01-01-01-11,calm,normal,kids,1,11,male
03-01-02-01-01-01-12,calm,normal,kids,1,12,female
03-01-02-01-01-01-13,calm,normal,kids,1,13,male
03-01-02-01-01-01-14,calm,normal,kids,1,14,female
03-01-02-01-01-01-17,calm,normal,kids,1,17,male
03-01-02-01-01-01-18,calm,normal,kids,1,18,female
03-01-02-01-01-01-19,calm,normal,kids,1,19,male
03-01-02-01-01-01-20,calm,normal,kids,1,20,female
03-01-02-01-01-01-21,calm,normal,kids,1,21,male
03-01-02-01-01-01-22,calm,normal,kids,1,22,female
03-01-02-01-01-01-23,calm,normal,kids,1,23,male
03-01-02-01-01-01-24,calm,normal,kids,1,24,female
03-01-02-01-01-02-01,calm,normal,kids,2,1,male
03-01-02-01-01-02-02,calm,normal,kids,2,2,female
03-01-02-01-01-02-03,calm,normal,kids,2,3,male
03-01-02-01-01-02-06,calm,normal,kids,2,6,female
03-01-02-01-01-02-07,calm,normal,kids,2,7,male
03-01-02-01-01-02-08,calm,normal,kids,2,8,female
03-01-02-01-01-02-09,calm,normal,kids,2,9,male
03-01-02-01-01-02-10,calm,normal,kids,2,10,female
03-01-02-01-01-02-11,calm,normal,kids,2,11,male
03-01-02-01-01-02-12,calm,normal,kids,2,12,female
03-01-02-01-01-02-13,calm,normal,kids,2,13,male
03-01-02-01-01-02-14,calm,normal,kids,2,14,female
03-01-02-01-01-02-17,calm,normal,kids,2,17,male
03-01-02-01-01-02-18,calm,normal,kids,2,18,female
03-01-02-01-01-02-19,calm,normal,kids,2,19,male
03-01-02-01-01-02-20,calm,normal,kids,2,20,female
03-01-02-01-01-02-21,calm,normal,kids,2,21,male
03-01-02-01-01-02-22,calm,normal,kids,2,22,female
03-01-02-01-01-02-23,calm,normal,kids,2,23,male
03-01-02-01-01-02-24,calm,normal,kids,2,24,female
03-01-02-01-02-01-01,calm,normal,dogs,1,1,male
03-01-02-01-02-01-02,calm,normal,dogs,1,2,female
03-01-02-01-02-01-03,calm,normal,dogs,1,3,male
03-01-02-01-02-01-06,calm,normal,dogs,1,6,female
03-01-02-01-02-01-07,calm,normal,dogs,1,7,male
03-01-02-01-02-01-08,calm,normal,dogs,1,8,female
03-01-02-01-02-01-09,calm,normal,dogs,1,9,male
03-01-02-01-02-01-10,calm,normal,dogs,1,10,female
03-01-02-01-02-01-11,calm,normal,dogs,1,11,male
03-01-02-01-02-01-12,calm,normal,dogs,1,12,female
03-01-02-01-02-01-13,calm,normal,dogs,1,13,male
03-01-02-01-02-01-14,calm,normal,dogs,1,14,female
03-01-02-01-02-01-17,calm,normal,dogs,1,17,male
03-01-02-01-02-01-18,calm,normal,dogs,1,18,female
03-01-02-01-02-01-19,calm,normal,dogs,1,19,male
03-01-02-01-02-01-20,calm,normal,dogs,1,20,female
03-01-02-01-02-01-21,calm,normal,dogs,1,21,male
03-01-02-01-02-01-22,calm,normal,dogs,1,22,female
03-01-02-01-02-01-23,calm,normal,dogs,1,23,male
03-01-02-01-02-01-24,calm,normal,dogs,1,24,female
03-01-02-01-02-02-01,calm,normal,dogs,2,1,male
03-01-02-01-02-02-02,calm,normal,dogs,2,2,female
03-01-02-01-02-02-03,calm,normal,dogs,2,3,male
03-01-02-01-02-02-06,calm,normal,dogs,2,6,female
03-01-02-01-02-02-07,calm,normal,dogs,2,7,male
03-01-02-01-02-02-08,calm,normal,dogs,2,8,female
03-01-02-01-02-02-09,calm,normal,dogs,2,9,male
03-01-02-01-02-02-10,calm,normal,dogs,2,10,female
03-01-02-01-02-02-11,calm,normal,dogs,2,11,male
03-01-02-01-02-02-12,calm,normal,dogs,2,12,female
03-01-02-01-02-02-13,calm,normal,dogs,2,13,male
03-01-02-01-02-02-14,calm,normal,dogs,2,14,female
03-01-02-01-02-02-17,calm,normal,dogs,2,17,male
03-01-02-01-02-02-18,calm,normal,dogs,2,18,female
03-01-02-01-02-02-19,calm,normal,dogs,2,19,male
03-01-02-01-02-02-20,calm,normal,dogs,2,20,female
03-01-02-01-02-02-21,calm,normal,dogs,2,21,male
03-01-02-01-02-02-22,calm,normal,dogs,2,22,female
03-01-02-01-02-02-23,calm,normal,dogs,2,23,male
03-01-02-01-02-02-24,calm,normal,dogs,2,24,female
03-01-02-02-01-01-01,calm,strong,kids,1,1,male
03-01-02-02-01-01-02,calm,strong,kids,1,2,female
03-01-02-02-01-01-03,calm,strong,kids,1,3,male
03-01-02-02-01-01-06,calm,strong,kids,1,6,female
03-01-02-02-01-01-07,calm,strong,kids,1,7,male
03-01-02-02-01-01-08,calm,strong,kids,1,8,female
03-01-02-02-01-01-09,calm,strong,kids,1,9,male
03-01-02-02-01-01-10,calm,strong,kids,1,10,female
03-01-02-02-01-01-11,calm,strong,kids,1,11,male
03-01-02-02-01-01-12,calm,strong,kids,1,12,female
03-01-02-02-01-01-13,calm,strong,kids,1,13,male
03-01-02-02-01-01-14,calm,strong,kids,1,14,female
03-01-02-02-01-01-17,calm,strong,kids,1,17,male
03-01-02-02-01-01-18,calm,strong,kids,1,18,female
03-01-02-02-01-01-19,calm,strong,kids,1,19,male
03-01-02-02-01-01-20,calm,strong,kids,1,20,female
03-01-02-02-01-01-21,calm,strong,kids,1,21,male
03-01-02-02-01-01-22,calm,strong,kids,1,22,female
03-01-02-02-01-01-23,calm,strong,kids,1,23,male
03-01-02-02-01-01-24,calm,strong,kids,1,24,female
03-01-02-02-01-02-01,calm,strong,kids,2,1,male
03-01-02-02-01-02-02,calm,strong,kids,2,2,female
03-01-02-02-01-02-03,calm,strong,kids,2,3,male
03-01-02-02-01-02-06,calm,strong,kids,2,6,female
03-01-02-02-01-02-07,calm,strong,kids,2,7,male
03-01-02-02-01-02-08,calm,strong,kids,2,8,female
03-01-02-02-01-02-09,calm,strong,kids,2,9,male
03-01-02-02-01-02-10,calm,strong,kids,2,10,female
03-01-02-02-01-02-11,calm,strong,kids,2,11,male
03-01-02-02-01-02-12,calm,strong,kids,2,12,female
03-01-02-02-01-02-13,calm,strong,kids,2,13,male
03-01-02-02-01-02-14,calm,strong,kids,2,14,female
03-01-02-02-01-02-17,calm,strong,kids,2,17,male
03-01-02-02-01-02-18,calm,strong,kids,2,18,female
03-01-02-02-01-02-19,calm,strong,kids,2,19,male
03-01-02-02-01-02-20,calm,strong,kids,2,20,female
03-01-02-02-01-02-21,calm,strong,kids,2,21,male
03-01-02-02-01-02-22,calm,strong,kids,2,22,female
03-01-02-02-01-02-23,calm,strong,kids,2,23,male
03-01-02-02-01-02-24,calm,strong,kids,2,24,female
03-01-02-02-02-01-01,calm,strong,dogs,1,1,male
03-01-02-02-02-01-02,calm,strong,dogs,1,2,female
03-01-02-02-02-01-03,calm,strong,dogs,1,3,male
03-01-02-02-02-01-06,calm,strong,dogs,1,6,female
03-01-02-02-02-01-07,calm,strong,dogs,1,7,male
03-01-02-02-02-01-08,calm,strong,dogs,1,8,female
03-01-02-02-02-01-09,calm,strong,dogs,1,9,male
03-01-02-02-02-01-10,calm,strong,dogs,1,10,female
03-01-02-02-02-01-11,calm,strong,dogs,1,11,male
03-01-02-02-02-01-12,calm,strong,dogs,1,12,female
03-01-02-02-02-01-13,calm,strong,dogs,1,13,male
03-01-02-02-02-01-14,calm,strong,dogs,1,14,female
03-01-02-02-02-01-17,calm,strong,dogs,1,17,male
03-01-02-02-02-01-18,calm,strong,dogs,1,18,female
03-01-02-02-02-01-19,calm,strong,dogs,1,19,male
03-01-02-02-02-01-20,calm,strong,dogs,1,20,female
03-01-02-02-02-01-21,calm,strong,dogs,1,21,male
03-01-02-02-02-01-22,calm,strong,dogs,1,22,female
03-01-02-02-02-01-23,calm,strong,dogs,1,23,male
03-01-02-02-02-01-24,calm,strong,dogs,1,24,female
03-01-02-02-02-02-01,calm,strong,dogs,2,1,male
03-01-02-02-02-02-02,calm,strong,dogs,2,2,female
03-01-02-02-02-02-03,calm,strong,dogs,2,3,male
03-01-02-02-02-02-06,calm,strong,dogs,2,6,female
03-01-02-02-02-02-07,calm,strong,dogs,2,7,male
03-01-02-02-02-02-08,calm,strong,dogs,2,8,female
03-01-02-02-02-02-09,calm,strong,dogs,2,9,male
03-01-02-02-02-02-10,calm,strong,dogs,2,10,female
03-01-02-02-02-02-11,calm,strong,dogs,2,11,male
03-01-02-02-02-02-12,calm,strong,dogs,2,12,female
03-01-02-02-02-02-13,calm,strong,dogs,2,13,male
03-01-02-02-02-02-14,calm,strong,dogs,2,14,female
03-01-02-02-02-02-17,calm,strong,dogs,2,17,male
03-01-02-02-02-02-18,calm,strong,dogs,2,18,female
03-01-02-02-02-02-19,calm,strong,dogs,2,19,male
03-01-02-02-02-02-20,calm,strong,dogs,2,20,female
03-01-02-02-02-02-21,calm,strong,dogs,2,21,male
03-01-02-02-02-02-22,calm,strong,dogs,2,22,female
03-01-02-02-02-02-23,calm,strong,dogs,2,23,male
03-01-02-02-02-02-24,calm,strong,dogs,2,24,female
03-01-03-01-01-01-01,happy,normal,kids,1,1,male
03-01-03-01-01-01-02,happy,normal,kids,1,2,female
03-01-03-01-01-01-03,happy,normal,kids,1,3,male
03-01-03-01-01-01-06,happy,normal,kids,1,6,female
03-01-03-01-01-01-07,happy,normal,kids,1,7,male
03-01-03-01-01-01-08,happy,normal,kids,1,8,female
03-01-03-01-01-01-09,happy,normal,kids,1,9,male
03-01-03-01-01-01-10,happy,normal,kids,1,10,female
03-01-03-01-01-01-11,happy,normal,kids,1,11,male
03-01-03-01-01-01-12,happy,normal,kids,1,12,female
03-01-03-01-01-01-13,happy,normal,kids,1,13,male
03-01-03-01-01-01-14,happy,normal,kids,1,14,female
03-01-03-01-01-01-17,happy,normal,kids,1,17,male
03-01-03-01-01-01-18,happy,normal,kids,1,18,female
03-01-03-01-01-01-19,happy,normal,kids,1,19,male
03-01-03-01-01-01-20,happy,normal,kids,1,20,female
03-01-03-01-01-01-21,happy,normal,kids,1,21,male
03-01-03-01-01-01-22,happy,normal,kids,1,22,female
03-01-03-01-01-01-23,happy,normal,kids,1,23,male
03-01-03-01-01-01-24,happy,normal,kids,1,24,female
03-01-03-01-01-02-01,happy,normal,kids,2,1,male
03-01-03-01-01-02-02,happy,normal,kids,2,2,female
03-01-03-01-01-02-03,happy,normal,kids,2,3,male
03-01-03-01-01-02-06,happy,normal,kids,2,6,female
03-01-03-01-01-02-07,happy,normal,kids,2,7,male
03-01-03-01-01-02-08,happy,normal,kids,2,8,female
03-01-03-01-01-02-09,happy,normal,kids,2,9,male
03-01-03-01-01-02-10,happy,normal,kids,2,10,female
03-01-03-01-01-02-11,happy,normal,kids,2,11,male
03-01-03-01-01-02-12,happy,normal,kids,2,12,female
03-01-03-01-01-02-13,happy,normal,kids,2,13,male
03-01-03-01-01-02-14,happy,normal,kids,2,14,female
03-01-03-01-01-02-17,happy,normal,kids,2,17,male
03-01-03-01-01-02-18,happy,normal,kids,2,18,female
03-01-03-01-01-02-19,happy,normal,kids,2,19,male
03-01-03-01-01-02-20,happy,normal,kids,2,20,female
03-01-03-01-01-02-21,happy,normal,kids,2,21,male
03-01-03-01-01-02-22,happy,normal,kids,2,22,female
03-01-03-01-01-02-23,happy,normal,kids,2,23,male
03-01-03-01-01-02-24,happy,normal,kids,2,24,female
03-01-03-01-02-01-01,happy,normal,dogs,1,1,male
03-01-03-01-02-01-02,happy,normal,dogs,1,2,female
03-01-03-01-02-01-03,happy,normal,dogs,1,3,male
03-01-03-01-02-01-06,happy,normal,dogs,1,6,female
03-01-03-01-02-01-07,happy,normal,dogs,1,7,male
03-01-03-01-02-01-08,happy,normal,dogs,1,8,female
03-01-03-01-02-01-09,happy,normal,dogs,1,9,male
03-01-03-01-02-01-10,happy,normal,dogs,1,10,female
03-01-03-01-02-01-11,happy,normal,dogs,1,11,male
03-01-03-01-02-01-12,happy,normal,dogs,1,12,female
03-01-03-01-02-01-13,happy,normal,dogs,1,13,male
03-01-03-01-02-01-14,happy,normal,dogs,1,14,female
03-01-03-01-02-01-17,happy,normal,dogs,1,17,male
03-01-03-01-02-01-18,happy,normal,dogs,1,18,female
03-01-03-01-02-01-19,happy,normal,dogs,1,19,male
03-01-03-01-02-01-20,happy,normal,dogs,1,20,female
03-01-03-01-02-01-21,happy,normal,dogs,1,21,male
03-01-03-01-02-01-22,happy,normal,dogs,1,22,female
03-01-03-01-02-01-23,happy,normal,dogs,1,23,male
03-01-03-01-02-01-24,happy,normal,dogs,1,24,female
03-01-03-01-02-02-01,happy,normal,dogs,2,1,male
03-01-03-01-02-02-02,happy,normal,dogs,2,2,female
03-01-03-01-02-02-03,happy,normal,dogs,2,3,male
03-01-03-01-02-02-06,happy,normal,dogs,2,6,female
03-01-03-01-02-02-07,happy,normal,dogs,2,7,male
03-01-03-01-02-02-08,happy,normal,dogs,2,8,female
03-01-03-01-02-02-09,happy,normal,dogs,2,9,male
03-01-03-01-02-02-10,happy,normal,dogs,2,10,female
03-01-03-01-02-02-11,happy,normal,dogs,2,11,male
03-01-03-01-02-02-12,happy,normal,dogs,2,12,female
03-01-03-01-02-02-13,happy,normal,dogs,2,13,male
03-01-03-01-02-02-14,happy,normal,dogs,2,14,female
03-01-03-01-02-02-17,happy,normal,dogs,2,17,male
03-01-03-01-02-02-18,happy,normal,dogs,2,18,female
03-01-03-01-02-02-19,happy,normal,dogs,2,19,male
03-01-03-01-02-02-20,happy,normal,dogs,2,20,female
03-01-03-01-02-02-21,happy,normal,dogs,2,21,male
03-01-03-01-02-02-22,happy,normal,dogs,2,22,female
03-01-03-01-02-02-23,happy,normal,dogs,2,23,male
03-01-03-01-02-02-24,happy,normal,dogs,2,24,female
03-01-03-02-01-01-01,happy,strong,kids,1,1,male
03-01-03-02-01-01-02,happy,strong,kids,1,2,female
03-01-03-02-01-01-03,happy,strong,kids,1,3,male
03-01-03-02-01-01-06,happy,strong,kids,1,6,female
03-01-03-02-01-01-07,happy,strong,kids,1,7,male
03-01-03-02-01-01-08,happy,strong,kids,1,8,female
03-01-03-02-01-01-09,happy,strong,kids,1,9,male
03-01-03-02-01-01-10,happy,strong,kids,1,10,female
03-01-03-02-01-01-11,happy,strong,kids,1,11,male
03-01-03-02-01-01-12,happy,strong,kids,1,12,female
03-01-03-02-01-01-13,happy,strong,kids,1,13,male
03-01-03-02-01-01-14,happy,strong,kids,1,14,female
03-01-03-02-01-01-17,happy,strong,kids,1,17,male
03-01-03-02-01-01-18,happy,strong,kids,1,18,female
03-01-03-02-01-01-19,happy,strong,kids,1,19,male
03-01-03-02-01-01-20,happy,strong,kids,1,20,female
03-01-03-02-01-01-21,happy,strong,kids,1,21,male
03-01-03-02-01-01-22,happy,strong,kids,1,22,female
03-01-03-02-01-01-23,happy,strong,kids,1,23,male
03-01-03-02-01-01-24,happy,strong,kids,1,24,female
03-01-03-02-01-02-01,happy,strong,kids,2,1,male
03-01-03-02-01-02-02,happy,strong,kids,2,2,female
03-01-03-02-01-02-03,happy,strong,kids,2,3,male
03-01-03-02-01-02-06,happy,strong,kids,2,6,female
03-01-03-02-01-02-07,happy,strong,kids,2,7,male
03-01-03-02-01-02-08,happy,strong,kids,2,8,female
03-01-03-02-01-02-09,happy,strong,kids,2,9,male
03-01-03-02-01-02-10,happy,strong,kids,2,10,female
03-01-03-02-01-02-11,happy,strong,kids,2,11,male
03-01-03-02-01-02-12,happy,strong,kids,2,12,female
03-01-03-02-01-02-13,happy,strong,kids,2,13,male
03-01-03-02-01-02-14,happy,strong,kids,2,14,female
03-01-03-02-01-02-17,happy,strong,kids,2,17,male
03-01-03-02-01-02-18,happy,strong,kids,2,18,female
03-01-03-02-01-02-19,happy,strong,kids,2,19,male
03-01-03-02-01-02-20,happy,strong,kids,2,20,female
03-01-03-02-01-02-21,happy,strong,kids,2,21,male
03-01-03-02-01-02-22,happy,strong,kids,2,22,female
03-01-03-02-01-02-23,happy,strong,kids,2,23,male
03-01-03-02-01-02-24,happy,strong,kids,2,24,female
03-01-03-02-02-01-01,happy,strong,dogs,1,1,male
03-01-03-02-02-01-02,happy,strong,dogs,1,2,female
03-01-03-02-02-01-03,happy,strong,dogs,1,3,male
03-01-03-02-02-01-06,happy,strong,dogs,1,6,female
03-01-03-02-02-01-07,happy,strong,dogs,1,7,male
03-01-03-02-02-01-08,happy,strong,dogs,1,8,female
03-01-03-02-02-01-09,happy,strong,dogs,1,9,male
03-01-03-02-02-01-10,happy,strong,dogs,1,10,female
03-01-03-02-02-01-11,happy,strong,dogs,1,11,male
03-01-03-02-02-01-12,happy,strong,dogs,1,12,female
03-01-03-02-02-01-13,happy,strong,dogs,1,13,male
03-01-03-02-02-01-14,happy,strong,dogs,1,14,female
03-01-03-02-02-01-17,happy,strong,dogs,1,17,male
03-01-03-02-02-01-18,happy,strong,dogs,1,18,female
03-01-03-02-02-01-19,happy,strong,dogs,1,19,male
03-01-03-02-02-01-20,happy,strong,dogs,1,20,female
03-01-03-02-02-01-21,happy,strong,dogs,1,21,male
03-01-03-02-02-01-22,happy,strong,dogs,1,22,female
03-01-03-02-02-01-23,happy,strong,dogs,1,23,male
03-01-03-02-02-01-24,happy,strong,dogs,1,24,female
03-01-03-02-02-02-01,happy,strong,dogs,2,1,male
03-01-03-02-02-02-02,happy,strong,dogs,2,2,female
03-01-03-02-02-02-03,happy,strong,dogs,2,3,male
03-01-03-02-02-02-06,happy,strong,dogs,2,6,female
03-01-03-02-02-02-07,happy,strong,dogs,2,7,male
03-01-03-02-02-02-08,happy,strong,dogs,2,8,female
03-01-03-02-02-02-09,happy,strong,dogs,2,9,male
03-01-03-02-02-02-10,happy,strong,dogs,2,10,female
03-01-03-02-02-02-11,happy,strong,dogs,2,11,male
03-01-03-02-02-02-12,happy,strong,dogs,2,12,female
03-01-03-02-02-02-13,happy,strong,dogs,2,13,male
03-01-03-02-02-02-14,happy,strong,dogs,2,14,female
03-01-03-02-02-02-17,happy,strong,dogs,2,17,male
03-01-03-02-02-02-18,happy,strong,dogs,2,18,female
03-01-03-02-02-02-19,happy,strong,dogs,2,19,male
03-01-03-02-02-02-20,happy,strong,dogs,2,20,female
03-01-03-02-02-02-21,happy,strong,dogs,2,21,male
03-01-03-02-02-02-22,happy,strong,dogs,2,22,female
03-01-03-02-02-02-23,happy,strong,dogs,2,23,male
03-01-03-02-02-02-24,happy,strong,dogs,2,24,female
03-01-04-01-01-01-01,sad,normal,kids,1,1,male
03-01-04-01-01-01-02,sad,normal,kids,1,2,female
03-01-04-01-01-01-03,sad,normal,kids,1,3,male
03-01-04-01-01-01-06,sad,normal,kids,1,6,female
