fname,emotion,intensivity,statement,repetition,actor,sex
03-01-04-01-01-01-07,sad,normal,kids,1,7,male
03-01-04-01-01-01-08,sad,normal,kids,1,8,female
03-01-04-01-01-01-09,sad,normal,kids,1,9,male
03-01-04-01-01-01-10,sad,normal,kids,1,10,female
03-01-04-01-01-01-11,sad,normal,kids,1,11,male
03-01-04-01-01-01-12,sad,normal,kids,1,12,female
03-01-04-01-01-01-13,sad,normal,kids,1,13,male
03-01-04-01-01-01-14,sad,normal,kids,1,14,female
03-01-04-01-01-01-17,sad,normal,kids,1,17,male
03-01-04-01-01-01-18,sad,normal,kids,1,18,female
03-01-04-01-01-01-19,sad,normal,kids,1,19,male
03-01-04-01-01-01-20,sad,normal,kids,1,20,female
03-01-04-01-01-01-21,sad,normal,kids,1,21,male
03-01-04-01-01-01-22,sad,normal,kids,1,22,female
03-01-04-01-01-01-23,sad,normal,kids,1,23,male
03-01-04-01-01-01-24,sad,normal,kids,1,24,female
03-01-04-01-01-02-01,sad,normal,kids,2,1,male
03-01-04-01-01-02-02,sad,normal,kids,2,2,female
03-01-04-01-01-02-03,sad,normal,kids,2,3,male
03-01-04-01-01-02-06,sad,normal,kids,2,6,female
03-01-04-01-01-02-07,sad,normal,kids,2,7,male
03-01-04-01-01-02-08,sad,normal,kids,2,8,female
03-01-04-01-01-02-09,sad,normal,kids,2,9,male
03-01-04-01-01-02-10,sad,normal,kids,2,10,female
03-01-04-01-01-02-11,sad,normal,kids,2,11,male
03-01-04-01-01-02-12,sad,normal,kids,2,12,female
03-01-04-01-01-02-13,sad,normal,kids,2,13,male
03-01-04-01-01-02-14,sad,normal,kids,2,14,female
03-01-04-01-01-02-17,sad,normal,kids,2,17,male
03-01-04-01-01-02-18,sad,normal,kids,2,18,female
03-01-04-01-01-02-19,sad,normal,kids,2,19,male
03-01-04-01-01-02-20,sad,normal,kids,2,20,female
03-01-04-01-01-02-21,sad,normal,kids,2,21,male
03-01-04-01-01-02-22,sad,normal,kids,2,22,female
03-01-04-01-01-02-23,sad,normal,kids,2,23,male
03-01-04-01-01-02-24,sad,normal,kids,2,24,female
03-01-04-01-02-01-01,sad,normal,dogs,1,1,male
03-01-04-01-02-01-02,sad,normal,dogs,1,2,female
03-01-04-01-02-01-03,sad,normal,dogs,1,3,male
03-01-04-01-02-01-06,sad,normal,dogs,1,6,female
03-01-04-01-02-01-07,sad,normal,dogs,1,7,male
03-01-04-01-02-01-08,sad,normal,dogs,1,8,female
03-01-04-01-02-01-09,sad,normal,dogs,1,9,male
03-01-04-01-02-01-10,sad,normal,dogs,1,10,female
03-01-04-01-02-01-11,sad,normal,dogs,1,11,male
03-01-04-01-02-01-12,sad,normal,dogs,1,12,female
03-01-04-01-02-01-13,sad,normal,dogs,1,13,male
03-01-04-01-02-01-14,sad,normal,dogs,1,14,female
03-01-04-01-02-01-17,sad,normal,dogs,1,17,male
03-01-04-01-02-01-18,sad,normal,dogs,1,18,female
03-01-04-01-02-01-19,sad,normal,dogs,1,19,male
03-01-04-01-02-01-20,sad,normal,dogs,1,20,female
03-01-04-01-02-01-21,sad,normal,dogs,1,21,male
03-01-04-01-02-01-22,sad,normal,dogs,1,22,female
03-01-04-01-02-01-23,sad,normal,dogs,1,23,male
03-01-04-01-02-01-24,sad,normal,dogs,1,24,female
03-01-04-01-02-02-01,sad,normal,dogs,2,1,male
03-01-04-01-02-02-02,sad,normal,dogs,2,2,female
03-01-04-01-02-02-03,sad,normal,dogs,2,3,male
03-01-04-01-02-02-06,sad,normal,dogs,2,6,female
03-01-04-01-02-02-07,sad,normal,dogs,2,7,male
03-01-04-01-02-02-08,sad,normal,dogs,2,8,female
03-01-04-01-02-02-09,sad,normal,dogs,2,9,male
03-01-04-01-02-02-10,sad,normal,dogs,2,10,female
03-01-04-01-02-02-11,sad,normal,dogs,2,11,male
03-01-04-01-02-02-12,sad,normal,dogs,2,12,female
03-01-04-01-02-02-13,sad,normal,dogs,2,13,male
03-01-04-01-02-02-14,sad,normal,dogs,2,14,female
03-01-04-01-02-02-17,sad,normal,dogs,2,17,male
03-01-04-01-02-02-18,sad,normal,dogs,2,18,female
03-01-04-01-02-02-19,sad,normal,dogs,2,19,male
03-01-04-01-02-02-20,sad,normal,dogs,2,20,female
03-01-04-01-02-02-21,sad,normal,dogs,2,21,male
03-01-04-01-02-02-22,sad,normal,dogs,2,22,female
03-01-04-01-02-02-23,sad,normal,dogs,2,23,male
03-01-04-01-02-02-24,sad,normal,dogs,2,24,female
03-01-04-02-01-01-01,sad,strong,kids,1,1,male
03-01-04-02-01-01-02,sad,strong,kids,1,2,female
03-01-04-02-01-01-03,sad,strong,kids,1,3,male
03-01-04-02-01-01-06,sad,strong,kids,1,6,female
03-01-04-02-01-01-07,sad,strong,kids,1,7,male
03-01-04-02-01-01-08,sad,strong,kids,1,8,female
03-01-04-02-01-01-09,sad,strong,kids,1,9,male
03-01-04-02-01-01-10,sad,strong,kids,1,10,female
03-01-04-02-01-01-11,sad,strong,kids,1,11,male
03-01-04-02-01-01-12,sad,strong,kids,1,12,female
03-01-04-02-01-01-13,sad,strong,kids,1,13,male
03-01-04-02-01-01-14,sad,strong,kids,1,14,female
03-01-04-02-01-01-17,sad,strong,kids,1,17,male
03-01-04-02-01-01-18,sad,strong,kids,1,18,female
03-01-04-02-01-01-19,sad,strong,kids,1,19,male
03-01-04-02-01-01-20,sad,strong,kids,1,20,female
03-01-04-02-01-01-21,sad,strong,kids,1,21,male
03-01-04-02-01-01-22,sad,strong,kids,1,22,female
03-01-04-02-01-01-23,sad,strong,kids,1,23,male
03-01-04-02-01-01-24,sad,strong,kids,1,24,female
03-01-04-02-01-02-01,sad,strong,kids,2,1,male
03-01-04-02-01-02-02,sad,strong,kids,2,2,female
03-01-04-02-01-02-03,sad,strong,kids,2,3,male
03-01-04-02-01-02-06,sad,strong,kids,2,6,female
03-01-04-02-01-02-07,sad,strong,kids,2,7,male
03-01-04-02-01-02-08,sad,strong,kids,2,8,female
03-01-04-02-01-02-09,sad,strong,kids,2,9,male
03-01-04-02-01-02-10,sad,strong,kids,2,10,female
03-01-04-02-01-02-11,sad,strong,kids,2,11,male
03-01-04-02-01-02-12,sad,strong,kids,2,12,female
03-01-04-02-01-02-13,sad,strong,kids,2,13,male
03-01-04-02-01-02-14,sad,strong,kids,2,14,female
03-01-04-02-01-02-17,sad,strong,kids,2,17,male
03-01-04-02-01-02-18,sad,strong,kids,2,18,female
03-01-04-02-01-02-19,sad,strong,kids,2,19,male
03-01-04-02-01-02-20,sad,strong,kids,2,20,female
03-01-04-02-01-02-21,sad,strong,kids,2,21,male
03-01-04-02-01-02-22,sad,strong,kids,2,22,female
03-01-04-02-01-02-23,sad,strong,kids,2,23,male
03-01-04-02-01-02-24,sad,strong,kids,2,24,female
03-01-04-02-02-01-01,sad,strong,dogs,1,1,male
03-01-04-02-02-01-02,sad,strong,dogs,1,2,female
03-01-04-02-02-01-03,sad,strong,dogs,1,3,male
03-01-04-02-02-01-06,sad,strong,dogs,1,6,female
03-01-04-02-02-01-07,sad,strong,dogs,1,7,male
03-01-04-02-02-01-08,sad,strong,dogs,1,8,female
03-01-04-02-02-01-09,sad,strong,dogs,1,9,male
03-01-04-02-02-01-10,sad,strong,dogs,1,10,female
03-01-04-02-02-01-11,sad,strong,dogs,1,11,male
03-01-04-02-02-01-12,sad,strong,dogs,1,12,female
03-01-04-02-02-01-13,sad,strong,dogs,1,13,male
03-01-04-02-02-01-14,sad,strong,dogs,1,14,female
03-01-04-02-02-01-17,sad,strong,dogs,1,17,male
03-01-04-02-02-01-18,sad,strong,dogs,1,18,female
03-01-04-02-02-01-19,sad,strong,dogs,1,19,male
03-01-04-02-02-01-20,sad,strong,dogs,1,20,female
03-01-04-02-02-01-21,sad,strong,dogs,1,21,male
03-01-04-02-02-01-22,sad,strong,dogs,1,22,female
03-01-04-02-02-01-23,sad,strong,dogs,1,23,male
03-01-04-02-02-01-24,sad,strong,dogs,1,24,female
03-01-04-02-02-02-01,sad,strong,dogs,2,1,male
03-01-04-02-02-02-02,sad,strong,dogs,2,2,female
03-01-04-02-02-02-03,sad,strong,dogs,2,3,male
03-01-04-02-02-02-06,sad,strong,dogs,2,6,female
03-01-04-02-02-02-07,sad,strong,dogs,2,7,male
03-01-04-02-02-02-08,sad,strong,dogs,2,8,female
03-01-04-02-02-02-09,sad,strong,dogs,2,9,male
03-01-04-02-02-02-10,sad,strong,dogs,2,10,female
03-01-04-02-02-02-11,sad,strong,dogs,2,11,male
03-01-04-02-02-02-12,sad,strong,dogs,2,12,female
03-01-04-02-02-02-13,sad,strong,dogs,2,13,male
03-01-04-02-02-02-14,sad,strong,dogs,2,14,female
03-01-04-02-02-02-17,sad,strong,dogs,2,17,male
03-01-04-02-02-02-18,sad,strong,dogs,2,18,female
03-01-04-02-02-02-19,sad,strong,dogs,2,19,male
03-01-04-02-02-02-20,sad,strong,dogs,2,20,female
03-01-04-02-02-02-21,sad,strong,dogs,2,21,male
03-01-04-02-02-02-22,sad,strong,dogs,2,22,female
03-01-04-02-02-02-23,sad,strong,dogs,2,23,male
03-01-04-02-02-02-24,sad,strong,dogs,2,24,female
03-01-05-01-01-01-01,angry,normal,kids,1,1,male
03-01-05-01-01-01-02,angry,normal,kids,1,2,female
03-01-05-01-01-01-03,angry,normal,kids,1,3,male
03-01-05-01-01-01-06,angry,normal,kids,1,6,female
03-01-05-01-01-01-07,angry,normal,kids,1,7,male
03-01-05-01-01-01-08,angry,normal,kids,1,8,female
03-01-05-01-01-01-09,angry,normal,kids,1,9,male
03-01-05-01-01-01-10,angry,normal,kids,1,10,female
03-01-05-01-01-01-11,angry,normal,kids,1,11,male
03-01-05-01-01-01-12,angry,normal,kids,1,12,female
03-01-05-01-01-01-13,angry,normal,kids,1,13,male
03-01-05-01-01-01-14,angry,normal,kids,1,14,female
03-01-05-01-01-01-17,angry,normal,kids,1,17,male
03-01-05-01-01-01-18,angry,normal,kids,1,18,female
03-01-05-01-01-01-19,angry,normal,kids,1,19,male
03-01-05-01-01-01-20,angry,normal,kids,1,20,female
03-01-05-01-01-01-21,angry,normal,kids,1,21,male
03-01-05-01-01-01-22,angry,normal,kids,1,22,female
03-01-05-01-01-01-23,angry,normal,kids,1,23,male
03-01-05-01-01-01-24,angry,normal,kids,1,24,female
03-01-05-01-01-02-01,angry,normal,kids,2,1,male
03-01-05-01-01-02-02,angry,normal,kids,2,2,female
03-01-05-01-01-02-03,angry,normal,kids,2,3,male
03-01-05-01-01-02-06,angry,normal,kids,2,6,female
03-01-05-01-01-02-07,angry,normal,kids,2,7,male
03-01-05-01-01-02-08,angry,normal,kids,2,8,female
03-01-05-01-01-02-09,angry,normal,kids,2,9,male
03-01-05-01-01-02-10,angry,normal,kids,2,10,female
03-01-05-01-01-02-11,angry,normal,kids,2,11,male
03-01-05-01-01-02-12,angry,normal,kids,2,12,female
03-01-05-01-01-02-13,angry,normal,kids,2,13,male
03-01-05-01-01-02-14,angry,normal,kids,2,14,female
03-01-05-01-01-02-17,angry,normal,kids,2,17,male
03-01-05-01-01-02-18,angry,normal,kids,2,18,female
03-01-05-01-01-02-19,angry,normal,kids,2,19,male
03-01-05-01-01-02-20,angry,normal,kids,2,20,female
03-01-05-01-01-02-21,angry,normal,kids,2,21,male
03-01-05-01-01-02-22,angry,normal,kids,2,22,female
03-01-05-01-01-02-23,angry,normal,kids,2,23,male
03-01-05-01-01-02-24,angry,normal,kids,2,24,female
03-01-05-01-02-01-01,angry,normal,dogs,1,1,male
03-01-05-01-02-01-02,angry,normal,dogs,1,2,female
03-01-05-01-02-01-03,angry,normal,dogs,1,3,male
03-01-05-01-02-01-06,angry,normal,dogs,1,6,female
03-01-05-01-02-01-07,angry,normal,dogs,1,7,male
03-01-05-01-02-01-08,angry,normal,dogs,1,8,female
03-01-05-01-02-01-09,angry,normal,dogs,1,9,male
03-01-05-01-02-01-10,angry,normal,dogs,1,10,female
03-01-05-01-02-01-11,angry,normal,dogs,1,11,male
03-01-05-01-02-01-12,angry,normal,dogs,1,12,female
03-01-05-01-02-01-13,angry,normal,dogs,1,13,male
03-01-05-01-02-01-14,angry,normal,dogs,1,14,female
03-01-05-01-02-01-17,angry,normal,dogs,1,17,male
03-01-05-01-02-01-18,angry,normal,dogs,1,18,female
03-01-05-01-02-01-19,angry,normal,dogs,1,19,male
03-01-05-01-02-01-20,angry,normal,dogs,1,20,female
03-01-05-01-02-01-21,angry,normal,dogs,1,21,male
03-01-05-01-02-01-22,angry,normal,dogs,1,22,female
03-01-05-01-02-01-23,angry,normal,dogs,1,23,male
03-01-05-01-02-01-24,angry,normal,dogs,1,24,female
03-01-05-01-02-02-01,angry,normal,dogs,2,1,male
03-01-05-01-02-02-02,angry,normal,dogs,2,2,female
03-01-05-01-02-02-03,angry,normal,dogs,2,3,male
03-01-05-01-02-02-06,angry,normal,dogs,2,6,female
03-01-05-01-02-02-07,angry,normal,dogs,2,7,male
03-01-05-01-02-02-08,angry,normal,dogs,2,8,female
03-01-05-01-02-02-09,angry,normal,dogs,2,9,male
03-01-05-01-02-02-10,angry,normal,dogs,2,10,female
03-01-05-01-02-02-11,angry,normal,dogs,2,11,male
03-01-05-01-02-02-12,angry,normal,dogs,2,12,female
03-01-05-01-02-02-13,angry,normal,dogs,2,13,male
03-01-05-01-02-02-14,angry,normal,dogs,2,14,female
03-01-05-01-02-02-17,angry,normal,dogs,2,17,male
03-01-05-01-02-02-18,angry,normal,dogs,2,18,female
03-01-05-01-02-02-19,angry,normal,dogs,2,19,male
03-01-05-01-02-02-20,angry,normal,dogs,2,20,female
03-01-05-01-02-02-21,angry,normal,dogs,2,21,male
03-01-05-01-02-02-22,angry,normal,dogs,2,22,female
03-01-05-01-02-02-23,angry,normal,dogs,2,23,male
03-01-05-01-02-02-24,angry,normal,dogs,2,24,female
03-01-05-02-01-01-01,angry,strong,kids,1,1,male
03-01-05-02-01-01-02,angry,strong,kids,1,2,female
03-01-05-02-01-01-03,angry,strong,kids,1,3,male
03-01-05-02-01-01-06,angry,strong,kids,1,6,female
03-01-05-02-01-01-07,angry,strong,kids,1,7,male
03-01-05-02-01-01-08,angry,strong,kids,1,8,female
03-01-05-02-01-01-09,angry,strong,kids,1,9,male
03-01-05-02-01-01-10,angry,strong,kids,1,10,female
03-01-05-02-01-01-11,angry,strong,kids,1,11,male
03-01-05-02-01-01-12,angry,strong,kids,1,12,female
03-01-05-02-01-01-13,angry,strong,kids,1,13,male
03-01-05-02-01-01-14,angry,strong,kids,1,14,female
03-01-05-02-01-01-17,angry,strong,kids,1,17,male
03-01-05-02-01-01-18,angry,strong,kids,1,18,female
03-01-05-02-01-01-19,angry,strong,kids,1,19,male
03-01-05-02-01-01-20,angry,strong,kids,1,20,female
03-01-05-02-01-01-21,angry,strong,kids,1,21,male
03-01-05-02-01-01-22,angry,strong,kids,1,22,female
03-01-05-02-01-01-23,angry,strong,kids,1,23,male
03-01-05-02-01-01-24,angry,strong,kids,1,24,female
03-01-05-02-01-02-01,angry,strong,kids,2,1,male
03-01-05-02-01-02-02,angry,strong,kids,2,2,female
03-01-05-02-01-02-03,angry,strong,kids,2,3,male
03-01-05-02-01-02-06,angry,strong,kids,2,6,female
03-01-05-02-01-02-07,angry,strong,kids,2,7,male
03-01-05-02-01-02-08,angry,strong,kids,2,8,female
03-01-05-02-01-02-09,angry,strong,kids,2,9,male
03-01-05-02-01-02-10,angry,strong,kids,2,10,female
03-01-05-02-01-02-11,angry,strong,kids,2,11,male
03-01-05-02-01-02-12,angry,strong,kids,2,12,female
03-01-05-02-01-02-13,angry,strong,kids,2,13,male
03-01-05-02-01-02-14,angry,strong,kids,2,14,female
03-01-05-02-01-02-17,angry,strong,kids,2,17,male
03-01-05-02-01-02-18,angry,strong,kids,2,18,female
03-01-05-02-01-02-19,angry,strong,kids,2,19,male
03-01-05-02-01-02-20,angry,strong,kids,2,20,female
03-01-05-02-01-02-21,angry,strong,kids,2,21,male
03-01-05-02-01-02-22,angry,strong,kids,2,22,female
03-01-05-02-01-02-23,angry,strong,kids,2,23,male
03-01-05-02-01-02-24,angry,strong,kids,2,24,female
03-01-05-02-02-01-01,angry,strong,dogs,1,1,male
03-01-05-02-02-01-02,angry,strong,dogs,1,2,female
03-01-05-02-02-01-03,angry,strong,dogs,1,3,male
03-01-05-02-02-01-06,angry,strong,dogs,1,6,female
03-01-05-02-02-01-07,angry,strong,dogs,1,7,male
03-01-05-02-02-01-08,angry,strong,dogs,1,8,female
03-01-05-02-02-01-09,angry,strong,dogs,1,9,male
03-01-05-02-02-01-10,angry,strong,dogs,1,10,female
03-01-05-02-02-01-11,angry,strong,dogs,1,11,male
03-01-05-02-02-01-12,angry,strong,dogs,1,12,female
03-01-05-02-02-01-13,angry,strong,dogs,1,13,male
03-01-05-02-02-01-14,angry,strong,dogs,1,14,female
03-01-05-02-02-01-17,angry,strong,dogs,1,17,male
03-01-05-02-02-01-18,angry,strong,dogs,1,18,female
03-01-05-02-02-01-19,angry,strong,dogs,1,19,male
03-01-05-02-02-01-20,angry,strong,dogs,1,20,female
03-01-05-02-02-01-21,angry,strong,dogs,1,21,male
03-01-05-02-02-01-22,angry,strong,dogs,1,22,female
03-01-05-02-02-01-23,angry,strong,dogs,1,23,male
03-01-05-02-02-01-24,angry,strong,dogs,1,24,female
03-01-05-02-02-02-01,angry,strong,dogs,2,1,male
03-01-05-02-02-02-02,angry,strong,dogs,2,2,female
03-01-05-02-02-02-03,angry,strong,dogs,2,3,male
03-01-05-02-02-02-06,angry,strong,dogs,2,6,female
03-01-05-02-02-02-07,angry,strong,dogs,2,7,male
03-01-05-02-02-02-08,angry,strong,dogs,2,8,female
03-01-05-02-02-02-09,angry,strong,dogs,2,9,male
03-01-05-02-02-02-10,angry,strong,dogs,2,10,female
03-01-05-02-02-02-11,angry,strong,dogs,2,11,male
03-01-05-02-02-02-12,angry,strong,dogs,2,12,female
03-01-05-02-02-02-13,angry,strong,dogs,2,13,male
03-01-05-02-02-02-14,angry,strong,dogs,2,14,female
03-01-05-02-02-02-17,angry,strong,dogs,2,17,male
03-01-05-02-02-02-18,angry,strong,dogs,2,18,female
03-01-05-02-02-02-19,angry,strong,dogs,2,19,male
03-01-05-02-02-02-20,angry,strong,dogs,2,20,female
03-01-05-02-02-02-21,angry,strong,dogs,2,21,male
03-01-05-02-02-02-22,angry,strong,dogs,2,22,female
03-01-05-02-02-02-23,angry,strong,dogs,2,23,male
03-01-05-02-02-02-24,angry,strong,dogs,2,24,female
03-01-06-01-01-01-01,fearful,normal,kids,1,1,male
03-01-06-01-01-01-02,fearful,normal,kids,1,2,female
03-01-06-01-01-01-03,fearful,normal,kids,1,3,male
03-01-06-01-01-01-06,fearful,normal,kids,1,6,female
03-01-06-01-01-01-07,fearful,normal,kids,1,7,male
03-01-06-01-01-01-08,fearful,normal,kids,1,8,female
03-01-06-01-01-01-09,fearful,normal,kids,1,9,male
03-01-06-01-01-01-10,fearful,normal,kids,1,10,female
03-01-06-01-01-01-11,fearful,normal,kids,1,11,male
03-01-06-01-01-01-12,fearful,normal,kids,1,12,female
03-01-06-01-01-01-13,fearful,normal,kids,1,13,male
03-01-06-01-01-01-14,fearful,normal,kids,1,14,female
03-01-06-01-01-01-17,fearful,normal,kids,1,17,male
03-01-06-01-01-01-18,fearful,normal,kids,1,18,female
03-01-06-01-01-01-19,fearful,normal,kids,1,19,male
03-01-06-01-01-01-20,fearful,normal,kids,1,20,female
03-01-06-01-01-01-21,fearful,normal,kids,1,21,male
03-01-06-01-01-01-22,fearful,normal,kids,1,22,female
03-01-06-01-01-01-23,fearful,normal,kids,1,23,male
03-01-06-01-01-01-24,fearful,normal,kids,1,24,female
03-01-06-01-01-02-01,fearful,normal,kids,2,1,male
03-01-06-01-01-02-02,fearful,normal,kids,2,2,female
03-01-06-01-01-02-03,fearful,normal,kids,2,3,male
03-01-06-01-01-02-06,fearful,normal,kids,2,6,female
03-01-06-01-01-02-07,fearful,normal,kids,2,7,male
03-01-06-01-01-02-08,fearful,normal,kids,2,8,female
03-01-06-01-01-02-09,fearful,normal,kids,2,9,male
03-01-06-01-01-02-10,fearful,normal,kids,2,10,female
03-01-06-01-01-02-11,fearful,normal,kids,2,11,male
03-01-06-01-01-02-12,fearful,normal,kids,2,12,female
03-01-06-01-01-02-13,fearful,normal,kids,2,13,male
03-01-06-01-01-02-14,fearful,normal,kids,2,14,female
03-01-06-01-01-02-17,fearful,normal,kids,2,17,male
03-01-06-01-01-02-18,fearful,normal,kids,2,18,female
03-01-06-01-01-02-19,fearful,normal,kids,2,19,male
03-01-06-01-01-02-20,fearful,normal,kids,2,20,female
03-01-06-01-01-02-21,fearful,normal,kids,2,21,male
03-01-06-01-01-02-22,fearful,normal,kids,2,22,female
03-01-06-01-01-02-23,fearful,normal,kids,2,23,male
03-01-06-01-01-02-24,fearful,normal,kids,2,24,female
03-01-06-01-02-01-01,fearful,normal,dogs,1,1,male
03-01-06-01-02-01-02,fearful,normal,dogs,1,2,female
03-01-06-01-02-01-03,fearful,normal,dogs,1,3,male
03-01-06-01-02-01-06,fearful,normal,dogs,1,6,female
03-01-06-01-02-01-07,fearful,normal,dogs,1,7,male
03-01-06-01-02-01-08,fearful,normal,dogs,1,8,female
03-01-06-01-02-01-09,fearful,normal,dogs,1,9,male
03-01-06-01-02-01-10,fearful,normal,dogs,1,10,female
03-01-06-01-02-01-11,fearful,normal,dogs,1,11,male
03-01-06-01-02-01-12,fearful,normal,dogs,1,12,female
03-01-06-01-02-01-13,fearful,normal,dogs,1,13,male
03-01-06-01-02-01-14,fearful,normal,dogs,1,14,female
03-01-06-01-02-01-17,fearful,normal,dogs,1,17,male
03-01-06-01-02-01-18,fearful,normal,dogs,1,18,female
03-01-06-01-02-01-19,fearful,normal,dogs,1,19,male
03-01-06-01-02-01-20,fearful,normal,dogs,1,20,female
03-01-06-01-02-01-21,fearful,normal,dogs,1,21,male
03-01-06-01-02-01-22,fearful,normal,dogs,1,22,female
03-01-06-01-02-01-23,fearful,normal,dogs,1,23,male
03-01-06-01-02-01-24,fearful,normal,dogs,1,24,female
03-01-06-01-02-02-01,fearful,normal,dogs,2,1,male
03-01-06-01-02-02-02,fearful,normal,dogs,2,2,female
03-01-06-01-02-02-03,fearful,normal,dogs,2,3,male
03-01-06-01-02-02-06,fearful,normal,dogs,2,6,female
03-01-06-01-02-02-07,fearful,normal,dogs,2,7,male
03-01-06-01-02-02-08,fearful,normal,dogs,2,8,female
03-01-06-01-02-02-09,fearful,normal,dogs,2,9,male
03-01-06-01-02-02-10,fearful,normal,dogs,2,10,female
03-01-06-01-02-02-11,fearful,normal,dogs,2,11,male
03-01-06-01-02-02-12,fearful,normal,dogs,2,12,female
03-01-06-01-02-02-13,fearful,normal,dogs,2,13,male
03-01-06-01-02-02-14,fearful,normal,dogs,2,14,female
03-01-06-01-02-02-17,fearful,normal,dogs,2,17,male
03-01-06-01-02-02-18,fearful,normal,dogs,2,18,female
03-01-06-01-02-02-19,fearful,normal,dogs,2,19,male
03-01-06-01-02-02-20,fearful,normal,dogs,2,20,female
03-01-06-01-02-02-21,fearful,normal,dogs,2,21,male
03-01-06-01-02-02-22,fearful,normal,dogs,2,22,female
03-01-06-01-02-02-23,fearful,normal,dogs,2,23,male
03-01-06-01-02-02-24,fearful,normal,dogs,2,24,female
03-01-06-02-01-01-01,fearful,strong,kids,1,1,male
03-01-06-02-01-01-02,fearful,strong,kids,1,2,female
03-01-06-02-01-01-03,fearful,strong,kids,1,3,male
03-01-06-02-01-01-06,fearful,strong,kids,1,6,female
03-01-06-02-01-01-07,fearful,strong,kids,1,7,male
03-01-06-02-01-01-08,fearful,strong,kids,1,8,female
03-01-06-02-01-01-09,fearful,strong,kids,1,9,male
03-01-06-02-01-01-10,fearful,strong,kids,1,10,female
03-01-06-02-01-01-11,fearful,strong,kids,1,11,male
03-01-06-02-01-01-12,fearful,strong,kids,1,12,female
03-01-06-02-01-01-13,fearful,strong,kids,1,13,male
03-01-06-02-01-01-14,fearful,strong,kids,1,14,female
